BRAND,PRODUCT,ACTUAL PRICE,DISCOUNTED PRICE,DISCOUNT
Roadster, Men Striped Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
Moda Rapido, Printed Round Neck T-shirt , Rs.649 , Rs.649 , 0%
FIDO DIDO, Solid Polo Collar T-shirt , Rs.1449 , Rs.579 , 60% 
Roadster, Colour Blocked T-shirt , Rs.499 , Rs.399 , 20% 
HERE&NOW, Men Printed Round Neck T-shirt , Rs.749 , Rs.486 , 35% 
Nike, ELMNT HZ 2.0 T-shirt , Rs.3295 , Rs.1977 , 40% 
ADIDAS, ESS Linear Printed T-shirt , Rs.1299 , Rs.779 , 40% 
Superdry, Solid Polo Collar T-shirt , Rs.4999 , Rs.3749 , 25% 
Roadster, Striped Round Neck T-shirt , Rs.799 , Rs.479 , 40% 
HRX by Hrithik Roshan, Printed Round Neck T-Shirt , Rs.699 , Rs.559 , 20% 
Roadster, Printed Round Neck T-shirt , Rs.499 , Rs.399 , 20% 
HERE&NOW, Solid V-Neck T-shirt , Rs.799 , Rs.439 , 45% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Huetrap, Printed Round Neck T-shirt , Rs.999 , Rs.499 , 50% 
Mast & Harbour, Striped Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
next, Solid V-Neck T-shirt , Rs.789 , Rs.591 , 25% 
Roadster, T-shirt , Rs.599 , Rs.359 , 40% 
Campus Sutra, Dyed Henley Neck T-shirt , Rs.749 , Rs.337 , 55% 
Mast & Harbour, Men Solid Round Neck T-shirt , Rs.699 , Rs.349 , 50% 
Moda Rapido, Striped Round Neck T-shirt , Rs.699 , Rs.699 , 0%
Roadster, Printed Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
Jack & Jones, Solid V-Neck T-shirt , Rs.899 , Rs.629 , 30% 
Calvin Klein Jeans, Printed Round Neck T-shirt , Rs.2299 , Rs.1379 , 40% 
Roadster, Solid Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Roadster, Printed Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
HERE&NOW, Colourblocked Round Neck T-shirt , Rs.849 , Rs.551 , 35% 
Force NXT, Striped Round Neck T-shirt , Rs.499 , Rs.374 , 25% 
Moda Rapido, Printed Round Neck T-shirt , Rs.649 , Rs.519 , 20% 
GESPO, Solid Round Neck T-shirt , Rs.849 , Rs.339 , 60% 
Calvin Klein Jeans, Printed Round Neck T-shirt , Rs.3299 , Rs.1979 , 40% 
Roadster, Solid Round Neck Black T-shirt , Rs.699 , Rs.419 , 40% 
Difference of Opinion, Round Neck  T-shirt , Rs.1099 , Rs.494 , 55% 
Nike, NK DRI-FIT Round Neck T-shirt , Rs.1695 , Rs.1271 , 25% 
IMPACKT, Colourblocked Round Neck T-shirt , Rs.499 , Rs.324 , 35% 
Moda Rapido, Solid Round Neck T-shirt , Rs.699 , Rs.699 , 0%
Roadster, Solid Polo Collar T-shirt , Rs.699 , Rs.559 , 20% 
