Product_Name,Pricing,Ratings
Apple iPhone X (64GB) - Space Grey, Rs.65999, 4.4
Apple iPhone 6 (Gold| 1GB RAM| 32GB Storage), Rs., 4.0
Apple iPhone 6s (32GB) - Space Grey, Rs.28999, 4.2
Apple iPhone 7 (32GB) - Black, Rs.36990, 4.2
Apple iPhone XR (64GB) - Black, Rs.59900, 4.5
Apple iPhone XR (128GB) - Black, Rs.64900, 4.5
Apple iPhone XR (64GB) - White, Rs.59490, 4.5
Apple iPhone X (64GB) - Silver, Rs.67999, 4.4
Apple iPhone XR (128GB) - White, Rs.64900, 4.5
Apple iPhone XR (64GB) (Product) RED, Rs.59490, 4.5
Zappos i Series Wireless Bluetooth Earphones with Mic | in Ear Hands Free Works with Xiaomi Mi| Apple iPhone| Oppo| Vivo| Realme| Samsung Note/Galaxy Series Mobile Phones | Twin Use Air Plugs, Rs.695, 
Apple iPhone XR (128GB) (Product) RED, Rs.64900, 4.5
Apple iPhone Xs Max (256GB) - Gold, Rs.124899, 4.5
Zappos i TWS Series Wireless Bluetooth Earphones with Mic | in Ear Hands Free Works with Xiaomi Mi| Apple iPhone| Oppo| Vivo| Realme| Samsung Note/Galaxy Series Mobile Phones | Twin Use Air Plugs, Rs.695, 
OnePlus 7 (Mirror Blue| 6GB RAM| 128GB Storage), Rs.32999, 4.5
Mobirush Transparent Honeycomb Hybrid Hard PC + TPU Bumper Impact Resistant Protective Cover/Case for Apple iPhone X - Clear Green, Rs.299, 
